City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tralee,52.2704,-9.7026,48.36,96,100,2.89,IE,1737317021
1,holualoa,19.6228,-155.9522,75.04,66,0,3.44,US,1737317022
2,amahai,-3.3333,128.9167,79.18,82,70,3.71,ID,1737317023
3,papatowai,-46.5619,169.4708,58.62,55,35,2.46,NZ,1737317024
4,whitehorse,60.7161,-135.0538,19.02,85,75,23.02,CA,1737316965
5,avarua,-21.2078,-159.775,82.45,83,75,8.05,CK,1737317026
6,iskateley,67.6803,53.1512,-10.46,89,100,8.5,RU,1737317028
7,atafu village,-8.5421,-172.5159,82.76,74,59,16.2,TK,1737317029
8,kiunga,-6.1219,141.2906,73.92,100,100,1.59,PG,1737317030
9,grytviken,-54.2811,-36.5092,37.49,72,57,24.16,GS,1737317031
10,port-aux-francais,-49.35,70.2167,45.16,87,98,28.01,TF,1737317032
11,buala,-8.145,159.5921,81.27,82,99,3.31,SB,1737317034
12,georgetown,5.4112,100.3354,80.53,73,20,4.61,MY,1737316894
13,puerto natales,-51.7236,-72.4875,61.25,44,75,19.57,CL,1737317036
14,bredasdorp,-34.5322,20.0403,65.88,77,0,8.01,ZA,1737317037
15,chivhu,-19.0211,30.8922,65.75,93,100,6.69,ZW,1737317038
16,nar'yan-mar,67.6713,53.087,-10.25,89,100,8.55,RU,1737317039
17,waitangi,-43.9535,-176.5597,59.83,87,69,7.0,NZ,1737317040
18,san jose,37.3394,-121.895,58.1,70,0,5.75,US,1737316775
19,puerto ayora,-0.7393,-90.3518,80.55,87,39,8.99,EC,1737317042
20,nago,26.5881,127.9761,63.36,80,98,13.2,JP,1737317004
21,bethel,41.3712,-73.414,36.9,80,100,6.91,US,1737317044
22,invercargill,-46.4,168.35,56.01,82,96,1.01,NZ,1737317045
23,bilibino,68.0546,166.4372,-23.58,99,100,4.18,RU,1737317047
24,lashio,22.9333,97.75,49.82,75,0,1.36,MM,1737317048
25,kuanda,56.3161,116.0806,-13.31,99,99,1.45,RU,1737317049
26,geraldton,-28.7667,114.6,73.81,88,53,8.05,AU,1737317050
27,san martin,-33.081,-68.4681,87.08,15,0,12.01,AR,1737317051
28,uturoa,-16.7333,-151.4333,81.82,72,97,15.52,PF,1737317052
29,adamstown,-25.066,-130.1015,76.84,84,86,5.97,PN,1737317053
30,kankan,10.3854,-9.3057,78.69,18,6,4.74,GN,1737317054
31,saipan,15.1355,145.701,81.3,78,40,12.66,MP,1737317055
32,chilaw,7.5758,79.7953,76.3,86,98,18.52,LK,1737317056
33,tamandare,-8.7597,-35.1047,81.05,73,100,9.42,BR,1737317058
34,dhuusamarreeb,5.535,46.3861,71.06,71,40,17.58,SO,1737317059
35,axim,4.8699,-2.2405,80.82,83,47,9.86,GH,1737317060
36,shangzhi,45.2167,127.9667,-7.46,100,100,1.97,CN,1737317061
37,camocim,-2.9022,-40.8411,78.42,81,100,5.06,BR,1737317031
38,bechar,31.6167,-2.2167,48.54,46,11,2.8,DZ,1737317063
39,jamestown,42.097,-79.2353,23.02,75,100,5.75,US,1737316960
40,sitka,57.0531,-135.33,40.89,81,100,6.91,US,1737317065
41,usogorsk,63.4106,48.6872,8.53,97,98,4.52,RU,1737317066
42,turtas,58.9417,69.1325,18.79,92,100,12.41,RU,1737317067
43,kapuskasing,49.4169,-82.4331,-12.91,64,20,6.91,CA,1737317068
44,blackmans bay,-43.0167,147.3167,59.52,90,100,1.01,AU,1737317069
45,laguna,38.421,-121.4238,54.23,67,0,1.01,US,1737317004
46,iqaluit,63.7506,-68.5145,2.93,84,100,3.44,CA,1737317072
47,ust'-ilimsk,58.0006,102.6619,14.86,90,100,10.6,RU,1737317073
48,hermanus,-34.4187,19.2345,65.8,82,0,13.31,ZA,1737317074
49,edinburgh of the seven seas,-37.0676,-12.3116,60.31,65,100,7.83,SH,1737317075
50,vorgashor,67.5833,63.95,-18.08,94,69,7.87,RU,1737317077
51,weihai,37.5017,122.1136,35.74,63,0,16.46,CN,1737317078
52,luanda,-8.8368,13.2343,78.8,83,0,9.22,AO,1737317079
53,lihue,21.9789,-159.3672,75.74,64,100,16.11,US,1737317080
54,albany,42.6001,-73.9662,29.05,76,100,1.99,US,1737316948
55,kavaratti,10.5669,72.642,81.75,73,100,4.9,IN,1737317083
